"iGEM_ID";"Uniprot_id";"Part_Locus";"Protein_Locus"
"BBa_K2443070";"P07012";"46---1137";"2---365"
"BBa_K2443071";"Q327M2";"46---1629";"2---529"
"BBa_K2443072";"Q3Z5I6";"1---555";"1---185"
"BBa_K2443073";"Q0T7B1";"49---687";"2---214"
"BBa_K2443074";"P00563";"1---1143";"1---381"
"BBa_K2443075";"Q3YZ34";"97---525";"1---143"
"BBa_K2443076";"P0A9L2";"46---486";"2---148"
"BBa_K2443077";"P00573";"49---2694";"2---883"
"BBa_K2444001";"P22519";"1---1236";"1---413"
"BBa_K2444001";"P22520";"1232---3325";"1---698"
"BBa_K2444004";"P29430";"46---228";"1---62"
"BBa_K2446037";"P04386";"1---441";"1---147"
"BBa_K2446037";"P21506";"475---699";"1---75"
"BBa_K2446038";"P21506";"814---1038";"1---75"
"BBa_K2446039";"P21506";"343---567";"1---75"
"BBa_K2446040";"P21506";"343---567";"1---75"
"BBa_K2446041";"P21506";"343---567";"1---75"
"BBa_K2446042";"P21506";"343---567";"1---75"
"BBa_K2446043";"P21506";"400---624";"1---75"
"BBa_K2446051";"P42212";"67---780";"1---238"
"BBa_K2446055";"P04483";"2017---2610";"9---206"
"BBa_K2446055";"Q01705";"895---1920";"1387---1728"
"BBa_K2446056";"Q01705";"1---1089";"1390---1752"
"BBa_K2446057";"P04483";"1---618";"1---206"
"BBa_K2448009";"P0ACP4";"1---1002";"1---334"
"BBa_K2448021";"B8I944";"1---879";"1---293"
"BBa_K2448022";"A9CH28";"1---867";"1---289"
"BBa_K2449011";"P07984";"97---1347";"33---449"
"BBa_K2449012";"P07986";"1---1455";"1---484"
"BBa_K2449013";"P07984";"97---1347";"33---449"
"BBa_K2449014";"P07986";"19---1470";"1---483"
"BBa_K2449015";"Q8FDZ8";"3---2057";"4---688"
"BBa_K2450101";"P04517";"715---1425";"2043---2279"
"BBa_K2450201";"P04483";"1---621";"1---207"
"BBa_K2450201";"P42212";"622---1335";"1---238"
"BBa_K245022";"P42212";"1---462";"1---154"
"BBa_K2450251";"P04483";"1---621";"1---207"
"BBa_K2450251";"P42212";"622---1335";"1---238"
"BBa_K2450401";"P0A910";"133---669";"21---194"
"BBa_K2450401";"P42212";"679---1386";"3---238"
"BBa_K2450451";"P0A910";"10---624";"1---200"
"BBa_K2450451";"P42212";"667---1374";"3---238"
"BBa_K2451001";"P0ACH7";"1---381";"1---127"
"BBa_K2451003";"P0A9E2";"1---321";"1---107"
"BBa_K2451005";"P0ACI2";"1---867";"1---289"
"BBa_K2451007";"P0ACT1";"1---645";"1---215"
"BBa_K2451011";"P06519";"1---1698";"1---566"
"BBa_K2451014";"P21394";"1---1050";"1---350"
"BBa_K2451014";"P21395";"1066---2172";"1---369"
"BBa_K2451014";"P39849";"2342---3418";"8---366"
"BBa_K245113";"P00947";"1---366";"2---123"
"BBa_K245115";"P00947";"1---366";"2---123"
"BBa_K245116";"P0AES8";"1---660";"1---220"
"BBa_K245117";"P0AES8";"1---660";"1---220"
"BBa_K245129";"Q3YUK3";"1---333";"2---112"
"BBa_K245140";"P01139";"1---669";"19---241"
"BBa_K2452000";"P03749";"1---753";"882---1132"
"BBa_K2455000";"P0AB91";"1---1050";"1---350"
"BBa_K2455001";"P00895";"1---1560";"1---520"
"BBa_K2455002";"P42212";"49---762";"1---238"
"BBa_K2455004";"P46136";"1---879";"1---293"
"BBa_K2457001";"Q99ZW2";"8---4111";"1---1368"
"BBa_K2457003";"Q3YYG4";"1128---85";"6---353"
"BBa_K2458001";"Q57160";"1---1542";"1---514"
"BBa_K2458001";"Q57501";"1581---2090";"1---170"
"BBa_K2461002";"O81959";"1---1794";"1---598"
"BBa_K2468000";"Q9X105";"1---2232";"1---744"
"BBa_K2469001";"Q2QYY8";"215---685";"404---560"
"BBa_K247001";"P12746";"1---750";"1---250"
"BBa_K2471000";"Q9L8R8";"39---788";"1---250"
"BBa_K2471001";"P37646";"39---803";"1---255"
"BBa_K2471002";"P71054";"39---872";"1---278"
"BBa_K2471003";"P37646";"879---1643";"1---255"
"BBa_K2471003";"P71054";"1673---2506";"1---278"
"BBa_K2471003";"Q9L8R8";"39---788";"1---250"
"BBa_K2471004";"Q9L8R8";"46---795";"1---250"
"BBa_K2471005";"P71054";"46---879";"1---278"
"BBa_K2471013";"Q9L8R8";"1---750";"1---250"
"BBa_K2471014";"P71054";"1---834";"1---278"
"BBa_K2472000";"P0CU45";"1---681";"1---227"
"BBa_K2472001";"P0CU52";"1---681";"1---227"
"BBa_K2472002";"P0CU51";"1---687";"1---229"
"BBa_K2476011";"P0AE69";"1---384";"2---129"
"BBa_K2476013";"P0AE69";"1---384";"2---129"
"BBa_K2477000";"P42212";"1---714";"1---238"
"BBa_K2477004";"Q99ZW2";"1---4104";"1---1368"
"BBa_K2477005";"P31110";"85---531";"29---177"
"BBa_K2477009";"P31110";"85---531";"29---177"
"BBa_K2477011";"P0A9G5";"1---405";"1---135"
"BBa_K2481004";"P0AFN9";"1---768";"1---256"
"BBa_K2481107";"P21687";"74---1219";"1---382"
"BBa_K2481107";"P21688";"1250---1774";"1---175"
"BBa_K2481111";"Q06942";"1---1092";"1---364"
"BBa_K2481112";"P51091";"1---1071";"1---357"
"BBa_K2483007";"P42212";"820---1503";"1---230"
"BBa_K2483007";"Q9NQI0";"22---756";"1---245"
"BBa_K2484000";"P28307";"1---453";"1---151"
"BBa_K2484001";"P28307";"1---453";"1---151"
"BBa_K2485001";"P06709";"1---963";"1---321"
"BBa_K2485005";"Q93XN8";"23---1291";"1---423"
"BBa_K2485007";"P42212";"1---714";"1---238"
"BBa_K2485008";"P06534";"1---801";"1---267"
"BBa_K2485009";"P06534";"88---888";"1---267"
"BBa_K2485011";"Q7BCK4";"1---348";"506---621"
"BBa_K2485012";"Q9F7P4";"1---735";"1---245"
"BBa_K2485014";"Q7BCK4";"1---3363";"1---1102"
"BBa_K2485016";"P42212";"349---1062";"1---238"
"BBa_K2485016";"Q7BCK4";"1---345";"506---620"
"BBa_K2486000";"P56972";"22---246";"20---94"
"BBa_K2486005";"H2I233";"1---678";"1---226"
"BBa_K2486022";"P04483";"657---37";"1---207"
"BBa_K2486027";"P0AE70";"1---333";"1---111"
"BBa_K2486105";"Q9Q6P4";"4---312";"589---691"
"BBa_K2486107";"P91793";"115---408";"1---98"
"BBa_K2486111";"P08932";"52---1290";"18---430"
"BBa_K2486172";"P0ACL8";"780---7";"1---258"
"BBa_K249002";"O66529";"1---462";"1---154"
"BBa_K2491000";"Q93UV4";"53---1123";"1---357"
"BBa_K2491002";"Q93UV4";"53---1123";"1---357"
"BBa_K2491004";"Q93UV4";"53---1123";"1---357"
"BBa_K2491015";"Q93UV4";"3---1070";"2---357"
"BBa_K2492003";"P02594";"958---1398";"3---149"
"BBa_K2493005";"P11895";"1---156";"1---52"
"BBa_K2499001";"Q3YUJ7";"384---1979";"1---532"
"BBa_K2499004";"P22869";"64---1581";"22---527"
"BBa_K2500000";"P0ABD3";"1---474";"1---158"
"BBa_K2500001";"P00282";"4---387";"21---148"
"BBa_K2500006";"P69487";"3---278";"61---152"
"BBa_K2500009";"P69487";"47---325";"60---152"
"BBa_K2505002";"Q9SB60";"1---954";"1---318"
"BBa_K2505031";"P33904";"81---716";"1---212"
"BBa_K2505032";"P33904";"81---716";"1---212"
"BBa_K2505033";"P33904";"1---636";"1---212"
"BBa_K2505034";"P33904";"1---636";"1---212"
"BBa_K2505035";"P33904";"1---636";"1---212"
"BBa_K2506001";"P46531";"970---1905";"1427---1738"
"BBa_K2506001";"Q96F46";"109---990";"34---327"
"BBa_K2506002";"P20963";"1207---1548";"51---164"
"BBa_K2507001";"P42212";"1---714";"1---238"
"BBa_K2509005";"P15018";"3---254";"35---118"
"BBa_K2509019";"O30611";"4---813";"1---267"
"BBa_K2509020";"P15018";"1---324";"95---202"
"BBa_K2509037";"P02976";"40---897";"40---327"
"BBa_K2509038";"P02976";"40---897";"40---327"
"BBa_K251000";"P0ACG8";"1---399";"1---133"
"BBa_K2510005";"P38058";"268---555";"35---130"
"BBa_K2510015";"P23608";"3---1769";"1---589"
"BBa_K2510016";"P14611";"1977---3155";"1---393"
"BBa_K2510016";"P14697";"3233---3970";"1---246"
"BBa_K2510016";"P23608";"34---1800";"1---589"
"BBa_K2510034";"P03705";"13---333";"1---107"
"BBa_K2510034";"P03706";"336---794";"6---158"
"BBa_K2510076";"P14611";"1---1179";"1---393"
"BBa_K2510076";"P14697";"1257---1994";"1---246"
"BBa_K2510103";"P00722";"769---3837";"2---1024"
"BBa_K2510104";"P00573";"769---3414";"2---883"
"BBa_K2510105";"P00573";"818---3463";"2---883"
"BBa_K2510106";"P00573";"769---3414";"2---883"
"BBa_K2510107";"P00573";"769---3414";"2---883"
"BBa_K2510108";"P04483";"821---1435";"3---207"
"BBa_K2510109";"P04483";"772---1386";"3---207"
"BBa_K2510110";"P18680";"818---1519";"2---235"
"BBa_K2510111";"P18680";"769---1470";"2---235"
"BBa_K2510112";"P69202";"818---1462";"2---216"
"BBa_K2510113";"P69202";"769---1413";"2---216"
"BBa_K2511000";"P03851";"362---111";"1---84"
"BBa_K2513020";"P72623";"4---1476";"1---491"
"BBa_K2513032";"P0A0Y4";"9---938";"22---331"
"BBa_K2513034";"P0A0Y4";"989---1918";"22---331"
"BBa_K2515001";"P93025";"1---318";"387---492"
"BBa_K2515003";"P04483";"62---682";"1---207"
"BBa_K2516000";"P0AGE8";"1---564";"1---188"
"BBa_K2516005";"P09979";"1---996";"1---332"
"BBa_K2518000";"Q95P04";"1---663";"1---221"
"BBa_K2518001";"Q9GZ28";"1---696";"1---232"
"BBa_K2519000";"Q08IT1";"265---2211";"109---757"
"BBa_K2520027";"P04483";"7---624";"2---207"
"BBa_K2522000";"Q93U24";"3---455";"2---152"
"BBa_K2524000";"P0DN86";"1---495";"1---165"
"BBa_K2524007";"P0DKR6";"1---171";"22---78"
"BBa_K255000";"P03023";"1---1059";"1---353"
"BBa_K255000";"P42212";"1153---1866";"1---238"
"BBa_K256004";"P37013";"1---1512";"1---504"
"BBa_K256008";"Q9RZA4";"52---963";"18---321"
"BBa_K256023";"P26876";"1---933";"1---311"
"BBa_K257001";"P03661";"2---1237";"18---424"
"BBa_K257002";"P77335";"14---922";"1---303"
"BBa_K257003";"P0A910";"104---448";"66---180"
"BBa_K257007";"P77335";"16---921";"2---303"
"BBa_K257017";"P23484";"14---532";"1---173"
"BBa_K2571000";"P0A9S1";"1---1146";"1---382"
"BBa_K2571001";"Q5LYY5";"1---2262";"1---754"
"BBa_K258002";"P22749";"1---426";"1---145"
"BBa_K258003";"P22749";"1---426";"1---145"
"BBa_K258004";"Q5RAY8";"4---492";"32---194"
"BBa_K258014";"P04252";"1---438";"1---146"
"BBa_K258100";"P23596";"1---1725";"1---575"
"BBa_K258101";"P23597";"1---1344";"1---448"
"BBa_K258102";"P23598";"1---1386";"1---462"
"BBa_K259000";"P06971";"1---2241";"1---747"
"BBa_K259001";"P06971";"1---2241";"1---747"
"BBa_K2602000";"P04252";"1---438";"1---146"
"BBa_K266002";"P25084";"1---717";"1---239"
"BBa_K270005";"P06519";"1---1698";"1---566"
"BBa_K273000";"P06672";"1---1704";"1---568"
"BBa_K273001";"P0DJA2";"1---1149";"1---383"
"BBa_K273002";"P73623";"1---696";"1---232"
"BBa_K273005";"P00331";"1---1044";"1---348"
"BBa_K2819000";"Q9SBQ9";"1---1464";"25---512"
"BBa_K2819001";"Q7XZQ8";"1---1095";"1---365"
"BBa_K282000";"P14611";"2---1174";"3---393"
"BBa_K282000";"P14697";"1270---1989";"1---240"
"BBa_K283005";"P0A910";"88---444";"67---186"
"BBa_K283005";"P22629";"1153---1533";"37---163"
"BBa_K283005";"P42212";"433---1146";"1---238"
"BBa_K283007";"P22629";"910---1290";"37---163"
"BBa_K283007";"P42212";"190---903";"1---238"
"BBa_K283007";"Q03155";"1354---2775";"813---1286"
"BBa_K283008";"P0A9H9";"1---591";"1---197"
"BBa_K283009";"P22629";"724---1104";"37---163"
"BBa_K283009";"P42212";"4---717";"1---238"
"BBa_K283010";"P22629";"4---384";"37---163"
"BBa_K283034";"P0AF06";"1---924";"1---308"
"BBa_K283039";"P12747";"1---579";"1---193"
"BBa_K283046";"P02920";"35---1285";"1---417"
"BBa_K283047";"P00573";"1---2649";"1---883"
"BBa_K283048";"P04483";"1---621";"1---207"
"BBa_K284001";"P00698";"1---426";"1---142"
"BBa_K284025";"P04419";"306---1766";"95---581"
"BBa_K284026";"P04482";"1---258";"1---86"
"BBa_K284031";"P06956";"1---1026";"2---343"
"BBa_K284032";"P08315";"1---558";"1---186"
"BBa_K284150";"Q46717";"302---2419";"1---706"
"BBa_K287003";"P35526";"7---1317";"1---437"
"BBa_K287004";"Q06496";"1923---13";"1---637"
"BBa_K2876001";"P03034";"1---711";"1---237"
"BBa_K2876002";"Q3YWW4";"228---1";"85---160"
"BBa_K2876003";"P03034";"1---711";"1---237"
"BBa_K2876005";"P18526";"243---539";"19---117"
"BBa_K289001";"P62142";"1---981";"1---327"
"BBa_K289004";"P00330";"1---1044";"1---348"
"BBa_K289005";"P06169";"1---1689";"1---563"
"BBa_K292009";"P21583";"1---819";"1---273"
"BBa_K292010";"P03712";"1---330";"1---110"
"BBa_K294000";"P0ACG8";"1---399";"1---133"
"BBa_K294055";"P42212";"1---714";"1---238"
"BBa_K294125";"P31658";"1---843";"1---283"
"BBa_K294205";"P0ACG8";"1---399";"1---133"
"BBa_K294208";"P12748";"1---243";"1---81"
"BBa_K299806";"B7MK73";"1---693";"1---231"
"BBa_K301005";"P00573";"1---999";"1---333"
"BBa_K302001";"Q45056";"1---315";"1---105"
"BBa_K302010";"P39135";"1---672";"1---224"
"BBa_K302011";"O32266";"76---426";"1---117"
"BBa_K302026";"P33115";"1---1323";"1---441"
"BBa_K302027";"P33116";"40---1842";"14---614"
"BBa_K302028";"P39774";"1---3090";"1---1030"
"BBa_K302029";"P05655";"1---1419";"1---473"
"BBa_K302032";"P0AE72";"1---246";"1---82"
"BBa_K302033";"P0AE70";"1---333";"1---111"
"BBa_K309004";"P42212";"954---1667";"1---238"
"BBa_K309015";"P15647";"1---873";"1---291"
"BBa_K309015";"P42212";"889---1602";"1---238"
"BBa_K309019";"P15647";"4---876";"1---291"
"BBa_K310007";"P37309";"1---351";"1---117"
"BBa_K313001";"P03013";"573---4";"1---190"
"BBa_K313002";"P03870";"1---1269";"1---423"
"BBa_K313015";"P03870";"1272---4";"1---423"
"BBa_K314011";"Q51693";"4---1503";"29---528"
"BBa_K314012";"Q51693";"529---1452";"44---351"
"BBa_K314015";"Q51693";"529---1452";"44---351"
"BBa_K314017";"Q51693";"529---1452";"44---351"
"BBa_K314025";"Q51693";"529---1452";"44---351"
"BBa_K314444";"P12746";"1---750";"1---250"
"BBa_K315014";"P02981";"1---1188";"1---396"
"BBa_K315015";"P02981";"1---1188";"1---396"
"BBa_K315020";"P02981";"147---1187";"50---396"
"BBa_K315021";"P02981";"1---1188";"1---396"
"BBa_K315031";"P02981";"1105---2145";"50---396"
"BBa_K315040";"P02981";"147---1187";"50---396"
"BBa_K315041";"P02981";"1---1188";"1---396"
"BBa_K315046";"P06956";"160---1188";"1---343"
"BBa_K316003";"P06622";"27---947";"1---307"
"BBa_K316012";"P04517";"714---7";"2038---2273"
"BBa_K316017";"P04517";"714---7";"2038---2273"
"BBa_K316021";"Q07448";"124---858";"1---245"
"BBa_K317000";"P42196";"1---717";"1---239"
"BBa_K317001";"P42259";"1---1602";"1---534"
"BBa_K317002";"P02941";"1---1659";"1---553"
"BBa_K317003";"P02941";"997---1968";"230---553"
"BBa_K317003";"P42196";"1---669";"1---223"
"BBa_K317007";"P39180";"1---3117";"1---1039"
"BBa_K317008";"P39180";"1---3117";"1---1039"
"BBa_K317998";"Q51559";"1---885";"1---295"
"BBa_K318516";"Q48413";"2---340";"1---113"
"BBa_K319007";"P03023";"1---1080";"1---360"
"BBa_K319036";"P03962";"1---801";"1---267"
"BBa_K319046";"P04483";"1---621";"1---207"
"BBa_K322119";"P08400";"1543---2313";"175---431"
"BBa_K322120";"P08400";"2948---3718";"175---431"
"BBa_K322120";"P72849";"63---626";"53---240"
"BBa_K322120";"Q55891";"650---1393";"1---248"
"BBa_K322211";"P08659";"1---1620";"1---539"
"BBa_K322237";"P08659";"1---1617";"1---539"
"BBa_K322246";"P08659";"1---1617";"1---539"
"BBa_K323011";"P42212";"1---513";"1---171"
"BBa_K323012";"P42212";"1---258";"153---238"
"BBa_K323017";"P42212";"10---723";"1---238"
"BBa_K323023";"P42212";"1---714";"1---238"
"BBa_K323032";"P42212";"1---258";"153---238"
"BBa_K323037";"P42212";"1---258";"153---238"
"BBa_K323049";"P42212";"10---723";"1---238"
"BBa_K323055";"P42212";"1---258";"153---238"
"BBa_K323062";"P42212";"1---714";"1---238"
"BBa_K323072";"P42212";"1---513";"1---171"
"BBa_K323079";"P42212";"10---723";"1---238"
"BBa_K323085";"Q9S3V1";"348---1601";"1---418"
"BBa_K323086";"P08151";"9---542";"223---400"
"BBa_K323086";"Q9S3U9";"642---1865";"22---429"
"BBa_K323087";"Q9S3U8";"306---1424";"1---373"
"BBa_K323134";"Q6NTY6";"9---275";"276---364"
"BBa_K323134";"Q9S3V0";"312---3305";"1---998"
"BBa_K323136";"P18146";"13---282";"335---423"
"BBa_K323162";"Q6NTY6";"9---275";"276---364"
"BBa_K323162";"Q9S3V0";"312---3305";"1---998"
"BBa_K323214";"P14727";"31---1707";"395---953"
"BBa_K324000";"P03023";"1---1080";"1---360"
"BBa_K324001";"P0A9E0";"1---876";"1---292"
"BBa_K327018";"P03034";"1---711";"1---237"
"BBa_K331010";"P06622";"40---957";"2---307"
"BBa_K331011";"P06622";"1---921";"1---307"
"BBa_K331020";"P06622";"1---921";"1---307"
"BBa_K331021";"P06622";"1---921";"1---307"
"BBa_K332011";"P21256";"1---1929";"1---643"
"BBa_K336020";"Q9WX62";"1---2412";"1---804"
"BBa_K336021";"Q9WX64";"1---468";"1---156"
"BBa_K336051";"Q9WX61";"1---2235";"1---745"
"BBa_K336052";"Q9WX63";"1---3975";"1---1325"
"BBa_K339000";"P0AEX9";"1---1188";"1---396"
"BBa_K339001";"P0AEX9";"1---1188";"1---396"
"BBa_K339002";"P0AEX9";"4---1113";"27---396"
"BBa_K339003";"P0AEX9";"4---1113";"27---396"
"BBa_K341445";"P0A9E0";"879---4";"1---292"
"BBa_K341448";"P0AG05";"220---1008";"1---263"
"BBa_K341449";"P03697";"681---4";"1---226"
"BBa_K341450";"P03698";"786---37";"1---250"
"BBa_K341451";"P03702";"417---4";"1---138"
"BBa_K341453";"P03023";"1080---4";"2---360"
"BBa_K341717";"P15795";"143---547";"48---182"
"BBa_K341718";"P06330";"7---345";"1---117"
"BBa_K341719";"P01631";"7---345";"1---113"
"BBa_K342001";"P23608";"14---1780";"1---589"
"BBa_K342002";"P9WHJ3";"1243---1572";"252---361"
"BBa_K343000";"P0ABZ0";"354---929";"1---192"
"BBa_K343001";"Q9VFS2";"1---1860";"1---620"
"BBa_K343003";"P02941";"997---1962";"230---553"
"BBa_K343003";"P42196";"1---669";"1---223"
"BBa_K343100";"P0ABZ0";"354---929";"1---192"
"BBa_K346007";"P39180";"1---3117";"1---1039"
"BBa_K348000";"P42632";"1---2292";"1---764"
"BBa_K349001";"Q9U6Y8";"238---900";"1---221"
"BBa_K349002";"Q9U6Y8";"238---900";"1---221"
"BBa_K349003";"Q9U6Y8";"239---901";"1---221"
"BBa_K349005";"P00551";"163---975";"1---271"
"BBa_K349006";"P00551";"163---975";"1---271"
"BBa_K349007";"P00551";"160---972";"1---271"
"BBa_K349008";"P00551";"160---972";"1---271"
"BBa_K349009";"P00551";"161---973";"1---271"
"BBa_K349010";"P00551";"161---973";"1---271"
"BBa_K349011";"P00551";"163---975";"1---271"
"BBa_K349012";"P00551";"163---975";"1---271"
"BBa_K349101";"P21684";"7---909";"1---301"
"BBa_K349102";"P21683";"7---930";"1---308"
"BBa_K349103";"P21687";"7---1149";"1---381"
"BBa_K349104";"P21685";"7---1479";"1---491"
"BBa_K349105";"P0A9E0";"7---882";"1---292"
"BBa_K349106";"P04483";"7---627";"1---207"
"BBa_K349107";"P03023";"7---1083";"1---359"
"BBa_K349108";"P03034";"7---714";"1---236"
"BBa_K349109";"Q9S3V1";"7---1209";"1---401"
"BBa_K349110";"Q9S3V0";"7---3000";"1---998"
"BBa_K349111";"Q9S3U8";"7---1122";"1---372"
"BBa_K349113";"P42212";"13---726";"1---238"
"BBa_K349114";"Q9U6Y8";"16---672";"3---221"
"BBa_K349116";"P62594";"91---948";"1---286"
"BBa_K349117";"P02981";"101---1288";"1---396"
"BBa_K349118";"P62580";"118---774";"1---219"
"BBa_K349119";"Q9U6Y3";"30---689";"41---260"
"BBa_K349302";"P62594";"91---948";"1---286"
"BBa_K349303";"P02981";"101---1288";"1---396"
"BBa_K354004";"P06534";"22---396";"143---267"
"BBa_K356000";"Q9KM65";"89---1255";"1---389"
"BBa_K357001";"P08310";"1---1119";"1---375"
"BBa_K357002";"P00948";"1---288";"1---96"
"BBa_K357004";"P0A102";"1---639";"1---213"
"BBa_K357005";"Q01103";"1---693";"1---231"
"BBa_K357006";"P0A102";"1---639";"1---213"
"BBa_K357007";"P00948";"1---288";"1---96"
"BBa_K360010";"P21578";"52---582";"18---194"
"BBa_K360021";"Q2RBR1";"4---423";"404---543"
"BBa_K360021";"Q3YU01";"424---684";"22---108"
"BBa_K360022";"P25082";"52---567";"18---189"
"BBa_K360115";"P08659";"1---1617";"1---539"
"BBa_K361000";"P10487";"1---1152";"1---384"
"BBa_K363008";"P50077";"1---6117";"1---2039"
"BBa_K363009";"P41821";"1---1644";"1---548"
"BBa_K363010";"P53968";"1---2034";"1---678"
"BBa_K363011";"P23287";"1---1659";"1---553"
"BBa_K363012";"P25296";"1---525";"1---175"
"BBa_K364001";"P48281";"1---258";"11---96"
"BBa_K364202";"Q07812";"1---573";"2---192"
"BBa_K364301";"Q9BXH1";"1---576";"2---193"
"BBa_K364303";"G5EFF5";"1---522";"556---729"
"BBa_K364305";"A2T7D9";"1---228";"8---83"
"BBa_K364306";"Q14994";"1---495";"163---327"
"BBa_K364307";"Q29040";"1---240";"171---250"
"BBa_K364308";"O75469";"1---732";"191---434"
"BBa_K364309";"P03372";"1---753";"301---551"
"BBa_K364310";"P34021";"1---693";"421---651"
"BBa_K364312";"P11473";"1---285";"97---191"
"BBa_K364313";"P19793";"1---756";"211---462"
"BBa_K364314";"Q9XYB7";"1---498";"369---534"
"BBa_K364315";"P41828";"1---489";"392---554"
"BBa_K364316";"Q19345";"1---555";"354---538"
"BBa_K364317";"Q18192";"1---483";"263---423"
"BBa_K364319";"P04386";"4---441";"2---147"
"BBa_K364321";"O44960";"1---492";"160---323"
"BBa_K365000";"O80536";"1---300";"1---100"
"BBa_K365001";"Q8L5W7";"1---300";"1---100"
"BBa_K365002";"P14713";"55---2724";"19---908"
"BBa_K365003";"P14713";"55---1926";"19---642"
"BBa_K365004";"Q3Z4W5";"1---1092";"61---424"
"BBa_K365009";"P42212";"1---714";"1---238"
"BBa_K365010";"P14713";"55---1920";"19---640"
"BBa_K365011";"P14713";"55---2721";"19---907"
"BBa_K365012";"Q3Z4W5";"1---1272";"1---424"
"BBa_K365013";"Q3Z4W5";"2329---3420";"61---424"
"BBa_K365014";"Q3Z4W5";"2395---3486";"61---424"
"BBa_K367003";"P13036";"1---2322";"1---774"
"BBa_K367004";"P23484";"1---519";"1---173"
"BBa_K367005";"P23485";"1---951";"1---317"
"BBa_K367006";"P13036";"1---240";"1---80"
"BBa_K367010";"P09832";"1---1416";"1---472"
"BBa_K367011";"P09831";"94---4551";"1---1486"
"BBa_K368000";"O31041";"1229---1900";"1---224"
"BBa_K368000";"P0A9E0";"879---4";"1---292"
"BBa_K368002";"Q16611";"1---633";"1---211"
"BBa_K368003";"Q16611";"494---1126";"1---211"
"BBa_K368004";"P42212";"43---756";"1---238"
"BBa_K368007";"P04517";"886---1617";"2038---2281"
"BBa_K368009";"P04517";"886---1617";"2038---2281"
"BBa_K368009";"Q16611";"1642---2274";"1---211"
"BBa_K368010";"P04517";"1178---1909";"2038---2281"
"BBa_K368010";"P42212";"20---733";"1---238"
"BBa_K368012";"P04517";"1178---1909";"2038---2281"
"BBa_K368012";"P42212";"20---733";"1---238"
"BBa_K368017";"Q16611";"1---633";"1---211"
"BBa_K368019";"P04517";"436---1167";"2038---2281"
"BBa_K371008";"P0A1C7";"1---279";"1---93"
"BBa_K371009";"P37449";"112---810";"1---233"
"BBa_K371015";"P0A1D1";"1---348";"1---116"
"BBa_K371020";"Q9U6Y8";"1---663";"1---221"
"BBa_K371021";"P42212";"1---714";"1---238"
"BBa_K371026";"Q9U6Y8";"11---673";"1---221"
"BBa_K371027";"P42212";"1---714";"1---238"
"BBa_K371030";"P42212";"239---952";"1---238"
"BBa_K371031";"P42212";"229---942";"1---238"
"BBa_K371032";"P0A1C7";"11---289";"1---93"
"BBa_K371032";"P37449";"449---1147";"1---233"
"BBa_K371033";"P0A1C7";"1---279";"1---93"
"BBa_K371037";"P0A1C7";"1---279";"1---93"
"BBa_K371039";"P0A1D1";"1---348";"1---116"
"BBa_K371040";"P37449";"112---810";"1---233"
"BBa_K371043";"Q9U6Y8";"11---673";"1---221"
"BBa_K371044";"P42212";"11---724";"1---238"
"BBa_K371063";"P0A1C7";"1---279";"1---93"
"BBa_K371063";"P37449";"439---1137";"1---233"
"BBa_K377705";"P39180";"1---3117";"1---1039"
"BBa_K380006";"P09038";"1---462";"135---288"
"BBa_K380007";"P60052";"1---459";"2---154"
"BBa_K380008";"P40202";"1---744";"2---249"
"BBa_K382020";"P56552";"4---165";"1---54"
"BBa_K382021";"P13087";"1---660";"1---220"
"BBa_K382025";"P13087";"37---696";"1---220"
"BBa_K382026";"P56552";"40---201";"1---54"
"BBa_K382027";"P13087";"1---660";"1---220"
"BBa_K382028";"P56552";"4---165";"1---54"
"BBa_K382030";"P49743";"1---609";"256---458"
"BBa_K382033";"P49883";"1---981";"213---539"
"BBa_K382035";"P03023";"1---1080";"1---360"
"BBa_K382036";"P49743";"1---609";"256---458"
"BBa_K382037";"P49883";"1---981";"213---539"
"BBa_K382040";"P13087";"1---660";"1---220"
"BBa_K382040";"P42212";"682---1395";"1---238"
"BBa_K382041";"P42212";"187---900";"1---238"
"BBa_K385002";"P03612";"1---390";"1---130"
"BBa_K387002";"P0ACS4";"1---462";"1---154"
"BBa_K387008";"P20263";"1---1056";"1---352"
"BBa_K389001";"P18540";"1---2499";"1---833"
"BBa_K389002";"Q44444";"6---734";"25---267"
"BBa_K389005";"P00551";"1---813";"1---271"
"BBa_K392016";"P96738";"1---1140";"1---380"
"BBa_K392017";"P96736";"1---1179";"1---393"
"BBa_K392018";"P96737";"1---447";"1---149"
"BBa_K392030";"P07984";"216---1466";"33---449"
"BBa_K392031";"P07986";"123---1574";"2---484"
"BBa_K392033";"P07984";"416---1666";"33---449"
"BBa_K392033";"P32781";"1---261";"1---87"
"BBa_K392034";"P07986";"323---1774";"2---484"
"BBa_K393001";"P0A1I1";"2278---2853";"1---192"
"BBa_K393001";"P37600";"1---2274";"1---758"
"BBa_K393001";"P37602";"2857---3618";"1---254"
"BBa_K394000";"P00551";"7---807";"5---271"
"BBa_K394003";"P19339";"70---1062";"24---354"
"BBa_K395166";"P00551";"62---874";"1---271"
"BBa_K396003";"P42212";"7---720";"1---238"
"BBa_K398100";"O48513";"1---579";"1---193"
"BBa_K398200";"A3M8K2";"1---1038";"1---347"
"BBa_K398300";"P17051";"1---2646";"1---882"
"BBa_K398400";"O58263";"10---453";"1---148"
